rank,full_name,position_abbreviation,school_name,age,height,weight,bats,throws
94,Noah Wilson,OF,McCallie (TN),19,6-1,195,L,R
95,Shane Sdao,LHP,Texas A&M,22,6-3,185,L,L
96,Gabe Gaeckle,RHP,Arkansas,21,6-0,190,R,R
97,Beau Peterson,3B,Mill Valley (KS),18,6-3,195,L,R
98,Ryan Lynch,RHP,North Carolina,21,6-3,215,R,R
99,Cole Koeninger,RHP/SS,Keller (TX),18,6-3,210,R,R
100,Cooper Sides,RHP,Orange Lutheran (CA),18,6-5,215,R,R
101,Evan Dempsey,RHP/OF,Florida Gulf Coast,20,6-2,205,L,R
102,Will Adams,OF/1B,Hoover (AL),18,6-2,203,L,L
103,Deiten Lachance,C/1B,Oklahoma,21,6-5,231,R,R
104,Kade Lewis,1B,Wake Forest,21,6-2,220,L,R
105,Dylan Bowen,SS,Hanover Central (IN),19,6-0,191,R,R
106,Jack Dugan,SS/3B,Lipscomb Academy (TN),18,6-2,193,L,R
107,Trey Ebel,SS,Corona (CA),17,6-0,180,R,R
108,Anthony Murphy,OF,Corona (CA),19,6-0,185,R,R
109,Julian Garcia,RHP,St. John Bosco (CA),18,6-3,205,R,R
110,Kolby Stringer,RHP,West Marion (MS),18,6-3,225,L,R
111,Wilson Andersen,RHP,Jesuit (FL),18,6-4,205,R,R
112,Brendan Brock,C/OF,Oklahoma,21,6-3,200,R,R
113,Tyson LeBlanc,SS,Kansas,21,6-0,200,R,R
114,Carson Kerce,SS,Georgia Tech,21,5-11,200,R,R
115,Cam Kozeal,SS/2B,Arkansas,21,5-10,205,L,R
116,Camden Johnson,3B,Oklahoma,21,6-0,176,L,R
117,Jaxon Willits,SS,Oklahoma,21,6-0,203,S,R
118,Malachi Washington,OF,Parkview (GA),18,6-1,203,R,R
119,Keon Johnson,SS,First Presbyterian (GA),18,6-2,203,R,R
120,Daniel Cuvet,3B,Miami,21,6-3,240,R,R
121,Tre Phelps,3B,Georgia,22,6-2,197,R,R
122,Gavin Giese,RHP,Dana Hills (CA),18,6-3,190,R,R
123,Brett Renfrow,RHP,Virginia Tech,21,6-3,220,R,R
124,Sean Dunlap,C,Crown Point (IN),18,6-3,205,R,R
125,AJ Rice,RHP,Pickens (GA),18,5-11,175,R,R
126,Logan Georges,RHP,Clovis (CA),19,6-5,210,R,R
127,Josiah Morris,SS/C,Clayton Valley (CA),18,6-1,180,R,R
128,Roman Martin,3B,UCLA,21,6-2,208,R,R
129,Dominic Santarelli,1B,St. Joseph (WI),18,6-2,230,L,L
130,Gunner Skelton,3B,Columbia Academy (TN),18,6-0,195,R,R
131,Jace Mataczynski,SS,Hudson (WI),18,6-4,195,R,R
132,Shawn Sullivan,RHP,Walsh Jesuit (OH),19,6-0,188,R,R
133,Jason DeCaro,RHP,North Carolina,20,6-5,225,R,R
134,Trey Beard,LHP,Florida State,21,6-2,185,L,L
135,Kyle Jones,OF,Florida,21,6-3,190,R,R
136,Kevin Roberts Jr.,OF,Jackson Prep (MS),17,6-5,220,R,R
137,Ryan Cooney,2B,Oregon,21,6-0,195,R,R
138,Hudson DeVaughan,RHP,Mooresville (IN),19,6-5,200,R,R
139,Tyler Putnam,RHP,Battle (MO),18,6-5,200,R,R
140,Steele Murdock,RHP,UC San Diego,21,6-2,210,R,R
141,Gary Morse,RHP,Orange Lutheran (CA),19,6-8,209,R,R
142,Nathaneal Davis-Cleary,OF,Bishop Moore (FL),18,6-0,185,L,L
143,Graham Schlicht,RHP,De La Salle (CA),18,6-3,195,R,R
144,Caden Ferraro,OF,Texas Tech,21,6-2,215,L,L
145,Ethan McElvain,LHP,Arkansas,21,6-4,250,S,L
146,Deven Sheerin,RHP,Louisiana State,20,6-5,255,R,R
147,Alex Hernandez,OF/1B,Georgia Tech,20,6-2,210,R,R
148,Joe Tiroly,2B/3B,Virginia,21,6-0,200,R,R
149,Henry Ford,3B,Tennessee,21,6-5,220,R,R
150,Ryan Marohn,LHP,North Carolina State,21,6-2,192,L,L
151,Kyle Johnson,LHP,Virginia,21,6-1,205,R,L
152,CJ Weinstein,SS,Orange Lutheran (CA),19,6-1,190,L,R
153,Jake McCoy,LHP,South Carolina,21,6-1,185,L,L
154,Lucas Nawrocki,LHP,Aledo (TX),18,5-11,197,L,L
155,Tommy LaPour,RHP,Texas Christian,21,6-4,230,R,R
156,Trey Rangel,RHP,The Colony (TX),19,6-1,185,R,R
157,Bryce Hill,RHP,Greenwich Country Day (CT),18,6-5,215,R,R
158,Andruw Giles,OF,Basic (NV),18,6-0,195,L,L
159,Elliot Lascelles,SS,Upper Canada (ON),18,6-1,181,L,R
160,Alex Weingartner,SS,St. Augustine (NJ),18,6-2,198,R,R
161,Jason Amalbert,OF,DePaul Catholic (NJ),18,6-1,190,R,R
162,Dawson Montesa,RHP,West Virginia,20,6-1,185,R,R
163,Kyle Casteel,RHP,Butler (PA),18,6-4,205,R,R
164,Brady Harris,OF,Trinity Christian (FL),18,6-1,185,R,R
165,Alex Sosa,C,Miami,21,6-1,208,L,R
166,Dalton Wentz,3B/2B,Wake Forest,20,6-2,215,S,R
167,Jaxon Jelkin,RHP,Kentucky,23,6-5,195,R,R
168,Ethan Norby,LHP,East Carolina,21,5-10,195,R,L
169,James Jorgensen,RHP,Jesuit Prep (TX),18,6-0,195,R,R
170,Brady Snow,RHP,American Heritage (FL),18,6-0,190,R,R
171,James Tronstein,OF/SS,Harvard-Westlake (CA),18,5-11,170,R,R
172,Jacob Madrid,C,Notre Dame (CA),18,6-4,215,R,R
173,Isaac Morton,RHP,Minnesota,21,6-3,195,R,R
174,Carson Jasa,RHP,Nebraska,21,6-7,215,R,R
175,Genson Veras,OF,TNXL Academy (FL),18,6-6,225,R,R
176,Martin Shelar,OF,Marist (GA),18,6-2,205,R,R
177,Maddox Molony,SS,Oregon,21,6-2,208,R,R
178,Russell Sandefer,RHP,Florida,21,6-1,200,R,R
179,Brayden Dowd,OF,Florida State,21,5-10,180,L,L
180,Trevor Hansen,RHP,UC Irvine,21,6-2,195,R,R
181,Coleton Brady,RHP,TNXL Academy (FL),17,6-5,215,R,R
182,Wil Libbert,LHP,Mississippi,21,6-1,215,L,L
183,Landon Thiel,LHP,Jackson (OH),17,6-7,230,R,L
